case_id,shape_mismatch,Dice_Myocardium,Dice_LA,Dice_LV,Dice_RA,Dice_RV,Dice_Aorta,Dice_PA,Dice_LAA,Dice_Coronary,Dice_PV,CC_Myocardium,CC_LA,CC_LV,CC_RA,CC_RV,CC_Aorta,CC_PA,CC_LAA,CC_Coronary,CC_PV,Conn_PV_LA,Conn_LAA_LA,Conn_Cor_MyoAo
208,False,0.9421028910332263,0.9669992158229502,0.9815298693964098,0.966466297446981,0.9622744559760212,0.9592494265350429,0.9244645479856912,0.7762040946025693,0.29679886833970764,0.9015864243276852,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
677,False,0.9325039743552751,0.9625087027298559,0.9798181883755971,0.9625086269350397,0.9502659974920832,0.9639814054597357,0.8922242656150937,0.8230353753362013,0.46928811845929397,0.7800353524794252,1,1,1,1,2,2,1,1,2,2,1.0,1.0,1.0
111,False,0.9405575817231685,0.9704303380615062,0.9825709940585081,0.9727354180601544,0.9429384055233767,0.9584633580337162,0.9039811664475987,0.8101638915629716,0.4266637856525497,0.8284649838837959,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
579,False,0.9335147580427703,0.9727657800702578,0.9796255575329028,0.9721927229586933,0.9417821269722099,0.9553549072903174,0.8969149352193385,0.8120251315020456,0.3019221948880457,0.8548290561751091,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
283,False,0.9382768485090754,0.9733007636219413,0.9802822562974224,0.9769612867407621,0.9487550102312179,0.9580976901183591,0.8858128598966198,0.7758246423753535,0.4340450424100614,0.8612578117322482,1,1,1,1,1,2,2,1,2,3,1.0,1.0,1.0
872,False,0.9450244054343733,0.9701021996380688,0.9810549181033973,0.9736119450349526,0.9473320824349383,0.9595936492285522,0.9106103885261136,0.7130188508702333,0.5626229995172849,0.8575482334460787,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
252,False,0.9386443708620592,0.9745354320782502,0.9804529835225868,0.9646880163846673,0.9350127121027334,0.9581272672122645,0.9142824542887298,0.8330253113700281,0.4051275449211925,0.862735149651622,2,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
966,False,0.9465991039461585,0.9704022506236719,0.9806148174523843,0.9666987737663836,0.9583037386573277,0.956081765190853,0.932484003533708,0.8136377661215675,0.3412526997840173,0.8811235700898339,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
169,False,0.9436838837813839,0.9746024174948378,0.982930808629154,0.9716025931565518,0.9527609417354491,0.9577083835606652,0.8702667475673611,0.8573155412291721,0.3890022811862168,0.8365452490441779,1,1,1,1,1,2,2,1,2,2,1.0,1.0,1.0
453,False,0.9532955953046648,0.9729617989299211,0.9783738923585322,0.9779180059553154,0.9496416367662104,0.9495157569813183,0.89284185397644,0.8271439021485804,0.34906128936127945,0.857500198236774,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
689,False,0.9448418906719993,0.9732247780040775,0.9840800750631093,0.9681496593057819,0.9602541681686042,0.9517110575348727,0.8640519493770521,0.8404689461991693,0.47312557360041496,0.8572549364408929,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
146,False,0.9603144186980803,0.9811486369393727,0.9714928962494244,0.9755751757273465,0.926138432008472,0.958128843430778,0.9157279081328716,0.6020775950263634,0.4451858539074459,0.8577478236899193,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
563,False,0.9439151045047015,0.9683093128106006,0.9833513466184731,0.9756486158376468,0.9505424561463107,0.9507970839591979,0.8107447583930026,0.8053883161512028,0.40549165120593694,0.8442662072976043,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
63,False,0.9552802480654334,0.9724560596575457,0.9809539956685999,0.9760262477489778,0.9540414319420036,0.954035872018314,0.8936936627872072,0.8688582844365093,0.44787862691720337,0.8767198025096827,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
845,False,0.9397904543209392,0.9711377199255182,0.9826760564887473,0.9716809149807544,0.942791162396595,0.9554942315382071,0.8557642328249889,0.8272067175418374,0.44916049064861985,0.8464104327487101,1,1,1,1,1,2,2,1,1,3,1.0,1.0,1.0
3,False,0.9499452577237364,0.9705732154090959,0.9784226798163547,0.9720619337567035,0.9531547454791238,0.957217410605518,0.9071177323480325,0.7937496764396279,0.4354284396263407,0.8762300467821071,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
778,False,0.942299889133484,0.9739918930700714,0.975812806592595,0.9712457505753596,0.9549945496847756,0.959434445202837,0.8951635111530104,0.8397746084298994,0.437827626918536,0.8731552428371248,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
663,False,0.9419016689176614,0.9717525825514641,0.9784198878426601,0.9772751522413072,0.9540468252544261,0.9536363517690418,0.9060431439232773,0.8079728374645955,0.5303246264473663,0.8268488906841183,1,3,1,1,1,2,2,1,1,2,1.0,1.0,1.0
