filename,original_cc,final_cc
510_refined.npy,7,2
527_refined.npy,7,2
882_refined.npy,4,2
773_refined.npy,5,2
204_refined.npy,9,2
394_refined.npy,3,2
457_refined.npy,5,2
227_refined.npy,5,2
607_refined.npy,8,2
278_refined.npy,4,2
753_refined.npy,8,2
576_refined.npy,8,2
146_refined.npy,2,1
755_refined.npy,7,2
183_refined.npy,6,2
548_refined.npy,3,2
30_refined.npy,1,1
186_refined.npy,8,2
488_refined.npy,3,1
900_refined.npy,8,2
406_refined.npy,1,1
856_refined.npy,5,1
952_refined.npy,5,2
66_refined.npy,3,2
778_refined.npy,2,1
760_refined.npy,3,2
695_refined.npy,10,2
953_refined.npy,3,2
380_refined.npy,3,1
497_refined.npy,6,2
198_refined.npy,7,2
526_refined.npy,4,2
504_refined.npy,2,1
106_refined.npy,3,2
506_refined.npy,6,2
160_refined.npy,4,2
601_refined.npy,3,1
48_refined.npy,7,2
936_refined.npy,9,2
89_refined.npy,5,2
147_refined.npy,5,2
549_refined.npy,3,2
653_refined.npy,5,2
22_refined.npy,5,2
11_refined.npy,3,2
408_refined.npy,14,2
634_refined.npy,4,2
888_refined.npy,4,2
503_refined.npy,9,2
414_refined.npy,2,1
849_refined.npy,5,2
997_refined.npy,5,2
890_refined.npy,6,2
255_refined.npy,2,1
586_refined.npy,4,2
899_refined.npy,4,2
327_refined.npy,3,2
161_refined.npy,6,2
847_refined.npy,3,1
317_refined.npy,8,2
226_refined.npy,6,2
853_refined.npy,4,2
679_refined.npy,4,1
966_refined.npy,10,2
180_refined.npy,8,2
830_refined.npy,5,2
42_refined.npy,7,2
397_refined.npy,4,1
848_refined.npy,4,2
978_refined.npy,10,2
837_refined.npy,6,2
654_refined.npy,4,2
71_refined.npy,5,2
92_refined.npy,4,1
603_refined.npy,6,2
429_refined.npy,8,2
768_refined.npy,14,2
171_refined.npy,3,2
846_refined.npy,6,2
469_refined.npy,6,2
902_refined.npy,7,2
203_refined.npy,3,2
84_refined.npy,6,2
827_refined.npy,7,2
698_refined.npy,2,2
696_refined.npy,3,2
864_refined.npy,5,2
865_refined.npy,6,2
569_refined.npy,4,2
257_refined.npy,4,2
193_refined.npy,4,2
